cuisine_type,description,key_ingredients
русская,"Русская, украинская, белорусская, славянская","Квашеная капуста, соленья, дичь, грибы, корнеплоды"
европейская,"Итальянская, французская, немецкая, испанская","Томаты, оливки, базилик, розмарин"
кавказская,"Грузинская, армянская, азербайджанская","Кинза, грецкие орехи, баклажаны, гранат"
средиземноморская,"Греческая, итальянская, испанская","Оливки, томаты, морепродукты, оливковое масло"
азиатская,"Китайская, японская, корейская","Рис, соевый соус, водоросли, имбирь"
